lote,veredicto,motivo,institucion,dominio_responde,dominio_real,nombre_real,nombre_coincide,url_programas,cantidad,niveles,tipo,alerta
08,revisar_a_mano,catálogo no enumerable,University of Leeds,si,www.leeds.ac.uk,University of Leeds,si,https://courses.leeds.ac.uk,"? (cientos, sin conteo visible en el sitio)","Undergraduate, Masters (postgraduate taught), research/doctorado, foundation, online, CPD",institucion,"CATALOGO NO ENUMERABLE: el buscador vive en un SUBDOMINIO distinto al de la ficha (courses.leeds.ac.uk), es dinamico por keyword y no publica un conteo ni un indice A-Z · los research degrees ademas se van a un portal aparte de PhD opportunities. La extraccion necesita otro tratamiento"
08,inservible,no es una institución (red),High School Otawa Carleton SD,si,ocdsb.ca,Ottawa-Carleton District School Board,parcial,https://studyottawa.ocdsb.ca/ (International Education Programs),~128 colegios (~95 primarias + ~33 secundarias),"Primaria (K-8) y secundaria (grados 9-12), mas programas cortos (Global Classroom, Winter English Explorer), programa de verano y formacion docente",red,"NO es un high school: es un distrito escolar publico con 120+ colegios. El nombre de la ficha esta mal escrito (""Otawa"" y ""Carleton SD""); el nombre real es Ottawa-Carleton District School Board. La venta internacional no se hace desde ocdsb.ca sino desde el subdominio studyottawa.ocdsb.ca · la ficha deberia apuntar ahi"
08,observacion,"Es ""A Member of Navitas"" pero la ficha tiene partner_group NULL (comparar con las otras fichas Navitas del lote, que si ",Western Sydney University International College,si,internationalcollege.westernsydney.edu.au,Western Sydney University International College,si,https://internationalcollege.westernsydney.edu.au/courses/,~8,"Foundation (4: general, Business, Health Science and Nursing, Science) y Diploma (4: Arts, Business, Engineering, ICT)",institucion,"Es ""A Member of Navitas"" pero la ficha tiene partner_group NULL (comparar con las otras fichas Navitas del lote, que si lo traen). Ficha con category null, ciudad null y puede_vender VACIO. El sitio NO ofrece pre-masters pese al tipo_adivinado ""curso_corto"""
09,observacion,"FICHA DICE USA/MIAMI y el sitio NO lista campus en Miami: Milan(x2), Florencia, Paris, Londres, Dubai, Riyadh, Mumbai, S",Istituto Marangoni,si,istitutomarangoni.com,Istituto Marangoni,si,https://www.istitutomarangoni.com/es/elige-tu-curso,~50+,"Bachelor 3 anios, Master/MA, cursos cortos, preparatorios",institucion (red de campus propios),"FICHA DICE USA/MIAMI y el sitio NO lista campus en Miami: Milan(x2), Florencia, Paris, Londres, Dubai, Riyadh, Mumbai, Shanghai, Shenzhen. Pais y ciudad de la ficha estan mal"
09,revisar_a_mano,catálogo no enumerable,Charles Darwin University (NT),si,cdu.edu.au,Charles Darwin University (CRICOS 00300K),si,https://www.cdu.edu.au/study,? (26+ areas de estudio),"VET/TAFE, pregrado, postgrado, PhD, pathway, cursos cortos",institucion (dual sector),"tipo_adivinado ""curso_corto"" y puede_vender VACIO para una universidad dual-sector completa · catalogo por buscador dinamico, no lista plana"
09,corregir,"apunta al dominio del grupo, no al propio",Ermitage International School,si,ermitage.fr,Ermitage International School Paris,parcial,https://www.ermitage.fr/french-bilingual-programs y /ib-programs,~5-6 rutas,"Pre-K, Primaria, College, Lycee, IB PYP/MYP/DP (3 a 18 anios)",institucion (parte de Ermitage Education Group),"es COLEGIO, no tiene ""programas"" vendibles como catalogo · el footer enlaza al grupo paraguas Ermitage Education Group · ficha tipo_adivinado ""intercambio"" no corresponde"
09,corregir,nombre distinto al real,"Speos, Paris Photographic Institute",si,speos-photo.com,Speos International Photography School,parcial,https://speos-photo.com/en/1-year-photography-programs/,~12-15,"1 anio intensivo, 2 anios, cortos 2-5 meses, workshops",institucion,"NOMBRE DISTINTO: el sitio se llama ""Speos International Photography School"", no ""Paris Photographic Institute"" · no otorga master tradicional pese a que la ficha permite ""Pregrado & Postgrado"""
09,ok,-,UOW College Australia,si,uowcollege.edu.au (uowcollegeaustralia.edu.au redirige aqui),UOW College Australia (RTO 91159 · CRICOS 02723D),si,https://www.uowcollege.edu.au/courses-pathways/,~11 areas,"Ingles, Foundation, University prep, Cert y Diploma VET, cursos cortos",institucion (college pathway de University of Wollongong),-
09,inservible,el dominio es de otra institución,Ulster University,bloquea,ulster.ac.uk,Ulster University,si,https://www.ulster.ac.uk/courses,?,"Pregrado, Postgrado, eLearning, Short courses y CPD",institucion,"PAIS MAL EN LA FICHA: es Irlanda del Norte (UK), no Ireland · campus actuales del sitio: Belfast, Coleraine, Derry~Londonderry · JORDANSTOWN YA NO APARECE · 403 sin UA de navegador (Cloudflare/Squiz) · catalogo Funnelback dinamico"
09,corregir,nombre distinto al real,QUB - The Queen's University Of Belfast,bloquea,qub.ac.uk,Queen's University Belfast,parcial,https://www.qub.ac.uk/courses/,?,"Pregrado, Postgrado taught, Investigacion",institucion,"403 sin UA de navegador · catalogo es BUSCADOR dinamico, no lista enumerable · ficha ""Todos los programas"" sin acotar"
09,revisar_a_mano,el sitio bloquea acceso automatizado,University of Tasmania,bloquea,utas.edu.au,University of Tasmania,si,https://www.utas.edu.au/study,? (6 areas de estudio),"Pregrado, Postgrado, Investigacion, online",institucion,"403 sin UA de navegador (Squiz/Cloudflare) · catalogo por buscador, no lista plana"
09,inservible,el dominio es de otra institución,University of Waikato College,si (pero no es su dominio),navitas.com,Navitas (grupo global de 100+ colleges en 18 paises),no,https://www.navitas.com/study/colleges-campuses/,?,"pathway, ingles, diplomas, degrees via universidades socias",red / grupo paraguas,"FANTASMA: el dominio de la ficha es el del GRUPO Navitas, no el del college · el sitio no es la institucion · MISMO DOMINIO que la ficha de Swansea (TCSU) en este mismo lote · hay que re-localizar el dominio propio del Waikato College"
09,corregir,nombre distinto al real,The University of Adelaide,si,adelaide.edu.au (www redirige a apex),Adelaide University,parcial,https://adelaide.edu.au/study/degrees/compare-degrees/,"? (cientos, 6 colleges)","Pregrado, Postgrado, Investigacion, cursos cortos",institucion,"CAMBIO DE NOMBRE: el sitio ya se presenta como ""Adelaide University"" (fusion con UniSA), no ""The University of Adelaide"" · catalogo por buscador dinamico"
09,inservible,la institución cerró,IES College,si (solo aviso),iescollege.com,IES College,si,ninguna,0,ninguno,institucion CERRADA,"INSTITUCION CERRADA: el sitio solo sirve el aviso ""ceased operations on 31st January 2026"" + formulario para pedir registros academicos · NO hay catalogo · sacar de la oferta"
09,inservible,el dominio es de otra institución,Swansea College and University (TCSU),si (pero no es su dominio),navitas.com,"The College, Swansea University (listado dentro de Navitas)",no,https://www.navitas.com/study/colleges-campuses/,?,"Foundation, Year 1, Pre-master",red / grupo paraguas,FANTASMA + DUPLICADO DE DOMINIO: apunta al grupo Navitas igual que la ficha de Waikato College · el dominio propio del college no esta en la ficha
09,inservible,duplicado de otra ficha,NYLC,si,nylanguagecenter.com,New York Language Center,parcial,https://www.nylanguagecenter.com/programs/,~3 formatos x varios niveles,"Solo ESL (grupal, privado, cursos especiales)",institucion,"ficha usa la sigla NYLC · 3 sedes (Upper West Side, Jackson Heights Queens, Bronx), no solo ""New York"" generico · puede_vender trae ""Idiomas"" duplicado"
09,inservible,el dominio es de otra institución,University of Exeter,si,exeter.ac.uk,University of Exeter,si,https://www.exeter.ac.uk/subjects/,?,"Pregrado, Master, PhD, online, apprenticeships, PGCE",institucion,ficha marca partner_group INTO pero el dominio es el de la universidad y NO menciona INTO · los Foundation/Year1/Pre-master que la ficha permite vender NO viven en este dominio (viven en el centro INTO) · catalogo por buscador
09,corregir,nombre distinto al real,University of Strathclyde,si,isc.strath.ac.uk,University of Strathclyde International Study Centre,parcial,https://isc.strath.ac.uk/programmes,~4,"Undergraduate Foundation, International Year Two, Pre-Masters, ingles","red (centro operado por Study Group, no la universidad)","el dominio NO es la universidad: es el International Study Centre ""maintained by Study Group"" · la ficha lo vende como ""Universidad"" · para pregrado/postgrado real hay que usar strath.ac.uk"
09,inservible,el convenio terminó,Lipscomb University,si (stub),international.lipscomb.edu,Lipscomb University (pagina residual de Study Group),parcial,https://lipscomb.edu/admissions/international-admissions,0 en este dominio,ninguno listado aqui,red (resto de centro Study Group),"CONVENIO TERMINADO: la pagina dice ""our contract with the university has ended"" y remite a lipscomb.edu · el partner_group ""Study Group"" de la ficha esta desactualizado · sin catalogo en este dominio"
10,corregir,nombre distinto al real,Avon Maitland Schools,si,amdsb.ca,Avon Maitland District School Board (AMDSB),parcial,https://www.amdsb.ca/apps/pages/index.jsp?uREC_ID=1088899&type=d&pREC_ID=1366718,~45 escuelas,Elemental + Secundaria (grados 9-12),red (junta escolar publica de Huron y Perth),"NO ES UNA INSTITUCION sino una JUNTA de ~45 escuelas · el brazo internacional se llama ""Avon Maitland Schools Canada"" y vive en OTRO dominio (yourschoolsincanada.com) que la ficha no tiene"
10,observacion,"SITIO COMPROMETIDO: la pagina en espanol tiene SEO spam inyectado (CBD, ""Delta 8 THC"", enlaces salientes a tiendas) veri",Hansa Language Centre,si,hansacanada.com,Hansa Language Centre (Escuela de ingles Hansa Canada),si,https://hansacanada.com/es/english-courses/,~15-20,"Idiomas: ingles general, IELTS/TOEFL/CELPIP, nocturnos, juniors, privados + 10 idiomas extra",institucion,"SITIO COMPROMETIDO: la pagina en espanol tiene SEO spam inyectado (CBD, ""Delta 8 THC"", enlaces salientes a tiendas) verificado en el HTML crudo · ademas la URL de la ficha (/es/escuela-de-ingles/) no es la de cursos"
10,revisar_a_mano,catálogo no enumerable,The University of Queensland (UQ),si,uq.edu.au,"The University of Queensland (TEQSA PRV12080, Group of Eight)",si,https://study.uq.edu.au/study-options/programs,336,"Bachelor, Grad Cert/Dip, Master, PhD/MPhil",institucion,"catalogo detras de BUSCADOR dinamico paginado (12 paginas, filtros), no lista plana · ficha sin category y con puede_vender VACIO pese a ser una Go8"
10,inservible,el dominio es de otra institución,Navitas Professional Institute,redirige,navitas-professional.edu.au -> 301 a py.acap.edu.au (DESTINO ROTO),? no verificable,no,?,?,?,?,"FANTASMA + MUERTO EFECTIVO: la marca ya no opera · el dominio de la ficha tiene certificado TLS EXPIRADO desde 15-ago-2025 y redirige a py.acap.edu.au, que no presenta certificado por HTTPS y devuelve 409 Conflict por HTTP (WP Engine mal configurado) · lo que sobrevive es ACAP (acap.edu.au, ya auditado en lote 01) · ficha sin category y puede_vender vacio"
10,observacion,"NO otorga pregrado propio: son diplomas-pathway que dan entrada a 2do ano en Curtin University · la ficha marca ""Todos l",Curtin College,si,curtincollege.edu.au,Colleges of Business and Technology (WA) Pty Ltd trading as Curtin College · CRICOS 02042G,si,https://www.curtincollege.edu.au/courses/,~8,Diploma pathway + Master Qualifying Program (no hay grados propios),institucion (grupo Navitas),"NO otorga pregrado propio: son diplomas-pathway que dan entrada a 2do ano en Curtin University · la ficha marca ""Todos los programas"" y eso SOBREVENDE lo que el college puede emitir"
10,revisar_a_mano,el sitio bloquea acceso automatizado,"City St Georges, University of London",bloquea,city.ac.uk -> 301 a citystgeorges.ac.uk,? no verificable,?,?,?,?,?,"DOBLE PROBLEMA: (a) el dominio de la ficha esta OBSOLETO, redirige al nuevo tras la fusion con St George's; (b) citystgeorges.ac.uk sirve un Cloudflare MANAGED CHALLENGE (JS) que devuelve 403 a todo fetcher incluso con UA de Chrome, en home, /study/ y /robots.txt · esta ficha hay que auditarla a mano en navegador"
10,observacion,"pathway a Adelaide University · ficha sin category, SIN partner_group (deberia decir Navitas, como Curtin College) y pue",Eynesbury College,si,eynesbury.edu.au,"Eynesbury College (EEA, ABN 20 008 194 689)",si,https://www.eynesbury.edu.au/programs/,~9,"Foundation, 5 Diplomas, Grad Cert, ELICOS",institucion (grupo Navitas),"pathway a Adelaide University · ficha sin category, SIN partner_group (deberia decir Navitas, como Curtin College) y puede_vender VACIO"
10,revisar_a_mano,catálogo no enumerable,Community College of Philadelphia,si,ccp.edu,Community College of Philadelphia,si,https://www.ccp.edu/degrees-programs,?,"Associate, Certificate, transferencia y continuing education",institucion,"NI ""American Honors"" NI ""American Success"" NI Wellspring aparecen en el sitio · verificado en home, /degrees-programs y /admission-aid/admissions/international-students (esta ultima solo habla de F-1 y ~150 internacionales, sin programas de marca) · el puede_vender de la ficha describe productos que el college NO anuncia · catalogo detras de ""Program Finder"" dinamico"
10,observacion,"la ficha apunta a http:// y el sitio sirve https · catalogo REPARTIDO en 3 secciones sin listado unico, la extraccion ti",Burlington School,si,burlingtonschool.co.uk,"Burlington School (escuela de ingles en Londres desde 1990, sede Balham)",si,"no hay pagina unica: /courses-for-adults/, /courses-for-young-learners/, /courses-for-groups/",~5 para adultos + young learners + grupos,"Idiomas Pre-A1 a C1/C2, IELTS, Cambridge, especialistas, 1-a-1",institucion,"la ficha apunta a http:// y el sitio sirve https · catalogo REPARTIDO en 3 secciones sin listado unico, la extraccion tiene que recorrer las tres"
10,inservible,no es una institución (agencia),Encompass,si,encompassexp.net,Encompass Experiences,parcial,https://www.encompassexp.net/immersion-programs,~6 categorias,"High/Middle School placement, inmersion, tours de ingles, colocacion universitaria",agencia,"NO ES INSTITUCION: es una agencia de colocacion e intercambio en EEUU/Canada, no imparte nada propio · la ficha la lista como si vendiera ""High School"" e ""Idiomas"" de casa · vender esto como institucion es enganoso"
10,corregir,nombre distinto al real,Photography Studies College,si,psc.edu.au,PSC Creative College (ex Photography Studies College) · TEQSA 12200 · RTO 0111 · CRICOS 00257G,parcial,https://www.psc.edu.au/courses,? (5 categorias),"Bachelor, Diplomas, cursos cortos",institucion,"CAMBIO DE NOMBRE Y DE ALCANCE: ya no es solo fotografia, suma diseno grafico, moda y screen media · otorga BACHELOR · ficha sin category y con puede_vender VACIO"
10,revisar_a_mano,catálogo no enumerable,University of Windsor,si,uwindsor.ca,University of Windsor,si,https://www.future.uwindsor.ca/programs/,?,Pregrado + Postgrado,institucion,"el catalogo vive en un SUBDOMINIO distinto (future.uwindsor.ca) con filtros dinamicos por query string, no es lista plana · ficha sin category"
10,revisar_a_mano,el sitio bloquea acceso automatizado,The Hotel School,si (bloquea sin UA),hotelschool.scu.edu.au,The Hotel School,si,https://hotelschool.scu.edu.au/courses/,6,"Diploma, Associate Degree, Bachelor, Grad Cert, Grad Dip, Master",institucion (opera con Southern Cross University),"BLOQUEA BOTS: 403 sin User-Agent de navegador (Cloudflare); con UA de Chrome responde 200 · los titulos los emite Southern Cross University, no es proveedor independiente · ficha sin category y puede_vender VACIO pese a llegar hasta Master"
10,inservible,el dominio es de otra institución,International House,si,ihworld.com,International House World Organisation,parcial,https://ihworld.com/learn/study-abroad/study-abroad-schools/,130+ escuelas afiliadas en 45+ paises,Idiomas,red (paraguas),"FANTASMA: la ficha dice Sydney, Australia y el directorio oficial NO lista ninguna escuela en Australia (si Vancouver, Malta, Bangkok, etc.) · ademas NO es una escuela sino una red, y el propio sitio aclara que ""no tiene responsabilidad legal por las acciones o gestion de las escuelas individuales"" · el dominio correcto seria el de la escuela de Sydney, no el de la red"
10,corregir,dominio obsoleto,George Mason University,redirige,www2.gmu.edu -> 301 a www.gmu.edu,George Mason University,si,https://www.gmu.edu/academics,?,"Pregrado, Postgrado, continuing/professional education",institucion,el dominio de la ficha (www2) es un 301 al canonico www.gmu.edu · corregir el dominio para que la extraccion no dependa del redirect
10,inservible,el dominio es de otra institución,Brisbane School of Beauty,si,brishair.com.au,"Academies Australasia Hair & Beauty (AAHB), trading as Brisbane School of Hairdressing / Brisbane School of Barbering",parcial,https://www.brishair.com.au/courses,~4,Peluqueria y barberia (Cert/Dip),institucion (grupo Academies Australasia),"FANTASMA PARCIAL: la marca ""Brisbane School of Beauty"" NO existe en el sitio; lo que opera es PELUQUERIA y BARBERIA (la palabra ""beauty"" solo aparece en el nombre corporativo AAHB) · el dominio mismo es ""brishair"" · si se vende como escuela de belleza, el alumno no recibe lo prometido · si acepta internacionales"
11,inservible,el dominio es de otra institución,Azurlingua,si,azurlingua.com,Azurlingua School – Nice – Private Higher Education Establishment,si,https://azurlingua.com/courses-main,"? (adultos + juniors, sin conteo publicado)","Idiomas (francés general, DELF/DALF)",institucion,"La URL EXACTA de la ficha (https://www.azurlingua.com/) NO carga: el certificado sólo cubre azurlingua.com, el host www no está en los altnames (curl exit 60). Usar el apex. Además el sitio está en Nice, no dice ciudad la ficha, y NO menciona pertenecer a Alpadia/Kaplan → partner_group ""Alpadia"" sin confirmar."
11,ok,-,ILA Montpellier,si,ila-france.es,Institut Linguistique Adenet (ILA),si,https://www.ila-france.es/cursos-frances,~40,"Idiomas (francés general/intensivo, DELF-DALF, verano, profesional, 50+, junior)",institucion,-
11,inservible,el dominio es de otra institución,FIC - Simon Fraser University,si,sfu.ca,Simon Fraser University,no,https://www.sfu.ca/main/programs/what-can-i-study.html,"? (undergraduate + graduate, sin conteo)","Pregrado, Posgrado, Educación continua",institucion,"FANTASMA: el dominio es el de la universidad, no el de FIC (Fraser International College, pathway de Navitas, dominio propio). Ni ""FIC"" ni ""Fraser International College"" aparecen en sfu.ca (0 coincidencias en home ni en la página de programas). La ficha promete Foundation/Year One/Pre-master, que los vende FIC, no SFU."
11,revisar_a_mano,catálogo no enumerable,The College Western Sydney University,si,westernsydney.edu.au/thecollege,The College at Western Sydney University,si,https://www.westernsydney.edu.au/future/study/application-pathways/the-college/courses,?,"Diploma pathway (entrada a 2º año de bachelor), English Language Programs, Workplace Skilling (RTO)","institucion (división pathway de la universidad, no entidad independiente)","El campo `sitio` de la ficha viene sin esquema (""www.westernsydney.edu.au/thecollege"") y con path: no es un dominio, hay que normalizarlo antes de crawlear. `category` null y `puede_vender` vacío pese a que sí vende diplomas + inglés."
11,inservible,no es una institución (red),Gedu Globlal Education,si,gedu.global,Global Education Group (GEDU),parcial,https://gedu.global/ (sin directorio central de instituciones),~10-12 instituciones miembro,"n/a (no imparte, agrupa)",red,"NO ES UNA INSTITUCIÓN: es un grupo paraguas UK (Greenford) que agrupa Global Banking School, English Path, Australian Performing Arts Conservatory, etc. en 8-16 países. Catálogo NO enumerable: no hay lista central de programas. Typo en el nombre de la ficha (""Globlal""). `puede_vender` = ""Todos los programas"" es indefendible aquí."
11,revisar_a_mano,el sitio bloquea acceso automatizado,Queensland University of Technology (QUT),bloquea,qut.edu.au,?,?,?,?,?,?,"BLOQUEA, NO ESTÁ MUERTA. DNS OK (43.245.41.63). Devuelve 403 con challenge de Cloudflare (cdn-cgi/challenge-platform) tanto en / como en /courses, incluso con UA de Chrome + Accept/Accept-Language/Sec-Fetch-* completos. Requiere navegador real (headless con JS) para auditar y para la extracción posterior. `category` null y `puede_vender` vacío en una universidad completa."
11,observacion,"`tipo_adivinado` = ""curso_corto"" y `puede_vender` VACÍO, pero otorga Bachelor y Master. Acreditada como Higher Education",Kent Institute Australia,si,kent.edu.au,Kent Institute Australia Pty Ltd,si,https://kent.edu.au/courses/,~7-8,"Certificate y Diploma (VET) + Bachelor (Accounting, Business, IT) + Master (ICT)",institucion,"`tipo_adivinado` = ""curso_corto"" y `puede_vender` VACÍO, pero otorga Bachelor y Master. Acreditada como Higher Education Institute + RTO. No se detectó ELICOS."
11,inservible,no es una institución (red),Education Queensland International (EQI),si,eqi.com.au,Education Queensland International,si,https://eqi.com.au/find-a-school/eqi-school-list,? escuelas (lista enumerable),"Primaria, Preparación secundaria, Secundaria, Bachillerato Internacional, Study Abroad, tours, refuerzo de inglés",red,"NO ES UNA INSTITUCIÓN: es el brazo internacional del gobierno de Queensland que coordina la red de colegios públicos estatales. No imparte clases. Lo que se vende es colegio-por-colegio, no un catálogo propio. `tipo_adivinado` = ""curso_corto"" es incorrecto (es educación K-12)."
11,corregir,nombre distinto al real,Red River College,si,rrc.ca,Red River College Polytechnic (RRC Polytech),parcial,https://www.rrc.ca/explore/,150+,"Certificate, Diploma, Advanced Diploma, Degree, Apprenticeship, micro-credentials, part-time/online",institucion,"CAMBIO DE NOMBRE: hoy es ""Red River College Polytechnic"" / marca ""RRC Polytech""; la ficha usa el nombre viejo. La ciudad real es Winnipeg (la ficha pone ""Manitoba"", que es la provincia)."
11,revisar_a_mano,catálogo no enumerable,Macquarie University (Macquarie),si,mq.edu.au,Macquarie University,si,https://www.mq.edu.au/study/find-a-course,? (17 áreas de estudio · buscador dinámico),Pregrado y Posgrado,institucion,"Devolvió 403 a fetcher simple y 200 con UA de Chrome + headers completos → NO está caída, filtra bots. Catálogo NO enumerable directo: es un buscador dinámico partido en 17 áreas (/study/find-a-course/<area>). `category` null y `puede_vender` vacío en una universidad completa."
11,inservible,no es una institución (red),ICRGU - Robert Gordon University,si,navitas.com,Navitas Pty Limited,no,https://www.navitas.com/study/colleges-campuses/,60+ colleges del grupo,"n/a (no imparte, agrupa)",red,"DOMINIO EQUIVOCADO/COMPARTIDO: la ficha apunta al grupo Navitas, no a ICRGU ni a Robert Gordon University. ""International College Robert Gordon University"" sólo aparece como una fila en la tabla de colleges del grupo. Un crawler sobre navitas.com traerá los 60+ colleges, no los programas de ICRGU. Mismo patrón de contaminación que la ficha FIC-SFU de este lote."
11,corregir,dominio obsoleto,University of South Australia (UniSA),redirige,unisa.edu.au → adelaide.edu.au,Adelaide University,no,https://adelaide.edu.au/study/,?,Pregrado y Posgrado,institucion,"REDIRECT 302 A OTRA UNIVERSIDAD: UniSA se fusionó y ya no existe como institución separada; el sitio destino habla de ""UniSA transitioning students"". La ficha está obsoleta: nombre, dominio y probablemente toda la oferta. `category` null y `puede_vender` vacío."
11,revisar_a_mano,catálogo no enumerable,Greenwich College,si,greenwichcollege.edu.au,Greenwich College,si,https://www.greenwichcollege.edu.au/elicos,? (inglés + VET),"ELICOS, Cambridge, IELTS + Certificate/Diploma VET (Management/Marketing/IT, Hospitality, Health & Care)",institucion (parte de NextEd Group),"`puede_vender` dice sólo ""Idiomas"" pero también vende VET Certificate/Diploma → inconsistente. Son 6 campus (Sydney, Melbourne, Perth, Brisbane, Gold Coast, Adelaide), la ficha sólo lista 2. `partner_group` ""Nexted"" sí se confirma (NextEd Group en el footer)."
11,inservible,el dominio es de otra institución,Global Village English Centres,si,gvenglish.com,Global Village English (GV),parcial,https://gvenglish.com/english-courses/,~15+,"Idiomas: inglés general, business, preparación de exámenes, academic pathways, junior/teen, y también francés (TCF/TEF)",institucion (2 campus: Victoria y Calgary),"El nombre de la ficha, ""Global Village English Centres"", NO aparece en el sitio: hoy se presenta como ""Global Village English"" / ""GV"". Opera 2 sedes (Victoria + Calgary); la ficha sólo registra Victoria."
11,corregir,dominio obsoleto,Australian Wings Academy,redirige,awa.qld.edu.au → flightone.edu.au,"Flight One Australia Pty Ltd / Flight One Education Pty Ltd (""Flight One School of Aviation"" y ""Flight One School of Engineering"")",no,https://flightone.edu.au/courses/,~12-13,"Diploma de piloto profesional, licencias CPL/PPL/RPL, habilitaciones (jet, Cirrus), ingeniería aeronáutica (certificados, apprenticeship, RPL)",institucion,"REDIRECT 301 PERMANENTE + REBRAND: ""Australian Wings Academy"" ya no es la marca; sólo sobrevive en un enlace de LinkedIn. Además el sitio opera desde Adelaide / South Australia pese al dominio .qld.edu.au → la ficha (país Australia, sin ciudad) y el dominio sugieren Queensland, que ya no corresponde. Sin aviso de cierre ni de inscripciones suspendidas."
11,corregir,nombre distinto al real,Box Hill,si,boxhill.edu.au,Box Hill Institute,parcial,https://www.boxhill.edu.au/courses/study-options/,? (17 study areas + slugs de curso individuales),"Certificate, Diploma, Advanced Diploma, Undergraduate degree, Apprenticeships/Pre-apprenticeships, Short courses, VCE/VDSS y ELICOS (English for Academic Purposes)",institucion,"Sitio JS-renderizado y SIN sitemap.xml: las raíces obvias (/courses/, /courses, /study/, /study-areas/) devuelven 404 y sólo funcionan subrutas concretas (/courses/study-options/, /study-areas/<slug>, /international-students/international-courses/) → catálogo NO enumerable con fetch simple, requiere navegador o mapeo manual de slugs. Nombre de la ficha incompleto (""Box Hill"" vs ""Box Hill Institute""). ELICOS confirmado, así que ""Idiomas"" en puede_vender sí se sostiene."
12,corregir,nombre distinto al real,Victoria University (Sydney),si,www.vu.edu.au,"Victoria University (CRICOS 00124K Melbourne · 02475D Sydney y Brisbane) · el campus se llama ""VU Sydney""",parcial,https://www.vu.edu.au/vu-sydney/courses-at-vu-sydney,? (3 niveles; se ven ~7 especializaciones de master + Bachelor of Early Childhood Education),"Higher Education Diploma, Pregrado, Postgrado",institucion,"La ficha apunta a un PATH de campus dentro del dominio de la universidad. La oferta de VU Sydney es un SUBCONJUNTO de Victoria University: extraer de vu.edu.au traeria el catalogo de Melbourne, que no es lo que la ficha promete. Ficha sin category, sin partner_group y con puede_vender VACIO."
12,inservible,duplicado de otra ficha,La Trobe University Sydney,bloquea,www.latrobe.edu.au,?,?,?,?,?,institucion,"Cloudflare challenge confirmado (HTTP 403 + header `Cf-Mitigated: challenge` + body ""Just a moment..."") incluso con UA de Chrome. NO es un sitio muerto: requiere navegador real. Ademas es DUPLICADO de dominio con la ficha ""La Trobe University"" de este mismo lote. El campus de Sydney lo opera Navitas y no vive en la raiz de latrobe.edu.au: el dominio de esta ficha es el de la universidad entera, no el del campus. partner_group=Navitas sugiere que la ficha deberia apuntar al sitio del partner."
12,inservible,no es una institución (agencia),Liverpool John Moores University,si,www.ljmuisc.com,"LJMU International Study Centre (""Maintained by Study Group"")",no,https://www.ljmuisc.com/programmes,4,"International Foundation Year, International Year One, Pre-Masters, pre-cursos de ingles",agencia,"El dominio NO es el de la universidad (ljmu.ac.uk) sino el centro pathway operado por Study Group. Coherente con puede_vender (solo Foundation/Year 1/Pre-master), pero la ficha se llama como la universidad: quien extraiga de aqui obtendra 4 programas puente, no el catalogo de LJMU. Renombrar la ficha a ""LJMU International Study Centre"" para no confundir al asesor."
12,inservible,no es una institución (agencia),Nacel Espana,si,www.nacel.es,"Nacel Espana, S.L. — ""agencia internacional de Viajes Linguisticos""",si,https://www.nacel.es/es/#nuestros-programas,"~6 categorias, cada una con 3-10 destinos","Ano academico en el extranjero, campamentos de verano, cursos de idiomas 16+, cursos de verano para jovenes, inmersion en familia, viajes escolares",agencia,"NO ES UNA INSTITUCION EDUCATIVA: es una agencia de viajes linguisticos, es decir el mismo tipo de negocio que el cliente. Lo que vende son programas alojados en terceros (colegios y escuelas de otros paises), no programas propios: el ""catalogo"" que se extraiga seran paquetes, no titulaciones. `puede_vender` repite ""High School"" dos veces (ruido en el dato). Los programas se navegan por anclas del home, no hay listado unico enumerable."
12,observacion,"Lista estatica y enumerable, la mejor del lote. Pero la ficha tiene `category`=null, `partner_group`=null y `puede_vende",Queensland Academy of Technology (QAT),si,qat.qld.edu.au (www redirige al apex),"Queensland Academy of Technology (QAT), nombre comercial de Australia Moreton Education Group Pty Ltd (ABN 68 105823309)",si,https://qat.qld.edu.au/international/courses/,22,"Certificate III (2), Certificate IV (4), Diploma (5), Advanced Diploma (2), Graduate Diploma (1), ELICOS/IELTS (2), cursos cortos (7)",institucion,"Lista estatica y enumerable, la mejor del lote. Pero la ficha tiene `category`=null, `partner_group`=null y `puede_vender` VACIO: hoy no se puede vender nada de una escuela con 22 cursos listos para extraer. Un curso corto (HLTAID012) es solo domestico. Opera bajo un grupo (Australia Moreton Education Group) aunque la marca es propia."
12,inservible,el dominio es de otra institución,Georgian English,si,www.georgiancollege.ca,Georgian College,no,https://www.georgiancollege.ca/academics/programs/,"153 (""Showing 153 of 153 programs"")","Ontario College Certificate, Diploma, Advanced Diploma, Honours Bachelor Degree (4), Graduate Certificate, aprendizajes, micro-credenciales",institucion,"FICHA FANTASMA: ""Georgian English"" no existe como marca ni como programa en el sitio. El dominio es el del Georgian College completo (college publico de Ontario). La ficha lo clasifica ""Instituto Idiomas"" y solo habilita ""Idiomas"" (duplicado), pero lo unico de idiomas que aparece es ""General Arts and Science - English for Academic Purposes"" y un pathway GAAS-EAP: 1 programa dentro de 153. Ademas la URL de la ficha apunta a /international/admissions/, que no es el catalogo. El listado es un buscador con filtros (dinamico), no una lista plana."
